Time ,Open,High,Low,Close,Change,Volume
2018-10-11,142.62,144.19,138.78,139.02,-3.67,8710400
2018-10-10,147.50,147.69,142.50,142.69,-4.55,5547600
2018-10-09,148.08,148.36,146.93,147.24,-1.15,3642400
2018-10-08,148.50,149.07,147.18,148.39,-0.64,3239300
2018-10-05,150.90,151.79,147.87,149.03,-2.28,4602200
2018-10-04,151.69,152.80,150.36,151.31,-1.91,4238100
2018-10-03,154.00,154.36,152.80,153.22,-0.53,3315200
2018-10-02,152.99,153.84,152.50,153.75,0.75,3030100
2018-10-01,151.71,153.42,151.71,153.00,1.79,3757400
2018-09-28,151.16,151.63,150.79,151.21,-0.29,3305700
2018-09-27,152.01,152.39,151.16,151.50,-0.11,3477600
2018-09-26,152.40,153.35,151.34,151.61,2.70,7401800
2018-09-25,149.91,150.41,148.36,148.91,-1.12,4397400
2018-09-24,151.10,151.20,149.46,150.03,-1.32,4264900
2018-09-21,151.48,152.60,150.74,151.35,0.20,19947800
2018-09-20,149.58,151.38,149.44,151.15,2.09,5952200
2018-09-19,148.63,149.96,148.23,149.06,0.50,4246300
2018-09-18,147.76,148.99,147.47,148.56,0.62,3629500
2018-09-17,148.44,149.07,147.77,147.94,-0.39,3551800
2018-09-14,148.85,149.30,147.78,148.33,-0.62,3452100
2018-09-13,147.35,149.00,147.12,148.95,2.38,5346500
2018-09-12,146.37,147.98,146.03,146.57,0.08,4506600
2018-09-11,146.00,146.99,145.25,146.49,0.84,3374700
2018-09-10,146.60,147.30,145.56,145.65,0.20,3618200
2018-09-07,145.94,146.50,145.12,145.45,-0.94,4693100
2018-09-06,146.88,147.66,145.54,146.39,-0.27,4248800
2018-09-05,145.19,146.75,145.05,146.66,0.98,3126500
2018-09-04,145.98,146.19,144.81,145.68,-0.80,3326100
2018-08-31,145.72,146.78,145.54,146.48,0.55,3488400
2018-08-30,147.03,147.30,145.25,145.93,-1.61,3340300
2018-08-29,146.87,147.93,146.60,147.54,0.95,3153800
2018-08-28,146.95,146.99,146.19,146.59,-0.10,2455300
2018-08-27,146.94,147.62,146.52,146.69,0.65,3491500
2018-08-24,145.46,146.09,144.87,146.04,0.67,2776800
2018-08-23,145.04,145.52,144.75,145.37,0.13,2220600
2018-08-22,146.01,146.16,145.19,145.24,-0.73,2388900
2018-08-21,147.00,147.12,145.89,145.97,-0.54,3106800
2018-08-20,146.37,147.16,146.15,146.51,0.45,2499600
2018-08-17,144.79,146.39,144.69,146.06,0.72,2678800
2018-08-16,144.37,145.68,144.37,145.34,1.43,5250800
2018-08-15,142.55,144.00,142.00,143.91,0.55,4241400
2018-08-14,143.00,143.82,142.93,143.36,0.65,2860000
2018-08-13,144.15,144.30,142.53,142.71,-1.77,2858800
2018-08-10,144.50,145.07,143.88,144.48,-0.29,3003100
2018-08-09,145.53,145.94,144.73,144.77,-2.12,3093500
2018-08-08,147.33,147.43,146.24,146.89,-0.12,3581700
2018-08-07,146.65,147.64,146.35,147.01,0.98,3508700
2018-08-06,146.95,147.20,145.57,146.03,-1.67,3913700
2018-08-03,143.24,147.92,143.00,147.70,4.74,8053500
2018-08-02,142.86,143.36,142.33,142.96,-0.54,3841400
2018-08-01,144.76,145.19,143.34,143.50,-1.43,3388300
2018-07-31,145.74,145.80,144.16,144.93,-0.56,5474400
2018-07-30,144.80,146.24,144.69,145.49,0.34,3608200
2018-07-27,146.89,147.14,144.66,145.15,-1.56,3749600
2018-07-26,147.43,149.27,146.63,146.71,0.09,4778000
2018-07-25,146.01,146.65,145.50,146.62,0.24,3623100
2018-07-24,146.70,147.04,145.92,146.38,0.68,3891600
2018-07-23,146.35,146.70,145.02,145.70,-0.65,3897800
2018-07-20,148.58,148.86,146.26,146.35,-2.89,6415900
2018-07-19,147.85,150.54,147.25,149.24,4.72,14655800
2018-07-18,143.51,144.80,142.74,144.52,1.03,6935200
2018-07-17,144.75,145.00,143.34,143.49,-1.97,5096700
2018-07-16,145.67,145.79,144.21,145.46,-0.44,3468800
2018-07-13,146.45,146.98,145.80,145.90,-0.55,3067600
2018-07-12,145.85,146.83,145.74,146.45,1.51,3119500
2018-07-11,144.00,146.19,144.00,144.94,0.23,3526500
2018-07-10,144.51,145.59,144.26,144.71,0.32,3776900
2018-07-09,142.59,144.72,142.47,144.39,1.91,3904600
2018-07-06,141.53,142.94,141.17,142.48,1.05,2910400
2018-07-05,140.48,141.43,139.93,141.43,1.86,3744700
2018-07-03,140.65,140.94,139.37,139.57,-0.29,1963200
2018-07-02,138.28,140.22,138.20,139.86,0.16,3405600
2018-06-29,140.32,141.36,139.61,139.70,-0.34,3753600
2018-06-28,138.10,140.54,137.95,140.04,2.56,4523600
2018-06-27,139.11,139.78,137.45,137.48,-1.60,4101800
2018-06-26,139.36,139.85,138.33,139.08,0.29,4139400
2018-06-25,140.40,140.40,138.28,138.79,-2.49,8937000
2018-06-22,141.64,141.81,140.78,141.28,0.03,6013600
2018-06-21,142.59,143.14,140.83,141.25,-1.38,3887600
2018-06-20,144.22,144.52,142.41,142.63,-1.27,3329900
